,by,descendants,id,kids,score,text,time,title,type,url
0,ohbarye,1.0,40441093,[40441948],35,"Hello HN,<p>I introduce a property-based testing tool for Ruby.
Ruby&#x27;s ease of test-writing and rich ecosystem are widely acclaimed. However, property-based testing is not as widely used as in other languages such as Haskell or Elixir, and I think this is because there is no de facto testing tool.<p>This gem currently not only has the basic functionality of stateless property-based testing but also has the following features:<p>- Support verbose mode that allows you to see its shrinking procedure and algorithms.<p>- Support several concurrency&#x2F;parallel executions of each test. As of now, Ractor&#x2F;Thread&#x2F;Process are available. (The default is sequential, considering benchmark results and actual use cases)<p>Happy hacking!",1716386305,Show HN: PBT – A property-based testing library for Ruby,story,https://github.com/ohbarye/pbt
1,Breadmaker,62.0,40440283,"[40441403, 40441491, 40440941, 40441454, 40441989, 40441613, 40441459]",100,,1716382095,'Right to roam' movement fights to give the commons back to the public,story,https://news.mongabay.com/2024/05/right-to-roam-movement-fights-to-give-the-commons-back-to-the-commoners/
2,hggh,30.0,40438434,"[40440238, 40440315, 40440418, 40441900, 40440112, 40440462, 40441807, 40440927, 40440658, 40440082, 40440087, 40442058, 40440795, 40441264, 40440258, 40440859, 40440059, 40440720, 40440041]",110,,1716364603,Psion 5mx Emulator,story,https://wuffs.org/WindEmu/index.html
3,the_real_tjaart,153.0,40432102,"[40432486, 40434756, 40433421, 40437515, 40440694, 40432897, 40432477, 40433366, 40434783, 40433797, 40439565, 40436534, 40435813, 40433442, 40435790, 40438201, 40433372, 40438228, 40432366, 40434701, 40432854, 40441232, 40437995, 40436080, 40435605, 40434327, 40437766, 40439700, 40437623, 40438174, 40432410, 40435344, 40434137, 40435600, 40435764, 40433079, 40434710, 40432568, 40432991, 40435709]",426,,1716316513,The curious case of the missing period,story,https://tjaart.substack.com/p/the-curious-case-of-the-missing-period
4,fuzztester,89.0,40435771,"[40436926, 40436840, 40436807, 40440678, 40439179, 40439326, 40437567, 40438655, 40436254, 40441482, 40441590, 40436513, 40436464]",178,,1716335979,A Road to Common Lisp (2018),story,https://stevelosh.com/blog/2018/08/a-road-to-common-lisp/
5,weaksauce,171.0,40431835,"[40442121, 40441238, 40439052, 40437134, 40440492, 40442009, 40438440, 40441825, 40437624, 40440478, 40441014, 40442089, 40440951, 40437108, 40440858, 40438148, 40440095, 40440954, 40436968, 40437032, 40440799, 40439249, 40441026, 40438849, 40435728, 40439668, 40439012, 40437704, 40436211, 40439349, 40441316, 40438323, 40437508, 40440661, 40439769, 40436904, 40439562, 40437654, 40439587, 40438187, 40438614, 40438874, 40436906, 40437843, 40440700, 40438904, 40438870, 40438426, 40437887, 40439183, 40436934, 40440570, 40440569, 40439871, 40436645, 40436849, 40438330]",246,,1716315327,Amber: Programming language compiled to Bash,story,https://amber-lang.com/
6,belter,13.0,40441115,"[40441530, 40441717, 40441949, 40442087, 40441846, 40441791, 40441467]",23,,1716386471,Why physicists now question the fate of the Universe,story,https://bigthink.com/starts-with-a-bang/physicists-question-fate-universe/
7,Brajeshwar,98.0,40440854,"[40441616, 40441867, 40441543, 40441567, 40441540, 40441682, 40442056, 40441802, 40441977, 40441709, 40441738, 40441689, 40441922, 40441679, 40441575, 40441640, 40441553, 40441578, 40441612, 40441533, 40441511]",79,,1716385193,Sal Khan is pioneering innovation in education again,story,https://www.gatesnotes.com/Brave-New-Words
8,dcminter,63.0,40432688,"[40433766, 40433060, 40437618, 40433180, 40433816, 40437550, 40433569, 40434375, 40434540, 40432980, 40434001, 40433005, 40435941, 40433282, 40433928, 40438892, 40435659, 40433517, 40435399, 40425215, 40430850, 40438159, 40436147, 40437826, 40434641, 40437580, 40433155, 40432949, 40433130, 40433461, 40434901]",1145,,1716319439,Gordon Bell has died,story,https://arstechnica.com/gadgets/2024/05/gordon-bell-an-architect-of-our-digital-age-dies-at-age-89/
9,matid,,40439913,,1,,1716379261,Plane (YC W17) is hiring product engineers (Rails/Remote/Americas),job,https://www.ycombinator.com/companies/plane/jobs/6NKkoGo-senior-staff-product-engineer-americas
